Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
690969b054b4829b9d67049b,61686f8376bd6ff59ea15479,APPROVED,Not Applicable,2025-11-04T02:49:27.548000Z,2025-11-04T03:22:06.517000Z,2025-11-08T05:02:26.979000Z,2025-11-04T03:22:06.909983Z,1959.0,CIFH4XG1,7348,English,41,Male,Asian,Korea,United States,United States,English,No,Full-Time
690969c2632f1607a1b9bf5e,663140c398e19ff9b77d4663,APPROVED,Not Applicable,2025-11-04T02:49:41.517000Z,2025-11-04T03:17:32.294000Z,2025-11-08T05:02:40.816000Z,2025-11-04T03:17:32.681872Z,1671.0,CIFH4XG1,4928,English,34,Female,Asian,United States,United States,United States,English,No,Full-Time
690969c46d8ab6c943b53a09,5ac5260dfa3b4e0001736dd3,APPROVED,Not Applicable,2025-11-04T02:49:57.209000Z,2025-11-04T03:21:37.118000Z,2025-11-08T05:02:42.398000Z,2025-11-04T03:21:37.497254Z,1900.0,CIFH4XG1,2760,English,31,Male,White,United States,United States,Mexico,English,DATA_EXPIRED,DATA_EXPIRED
690969d926b72a2bf3cab441,5dde8fba82f458000c8c7c75,APPROVED,Not Applicable,2025-11-04T02:50:01.747000Z,2025-11-04T03:41:46.678000Z,2025-11-08T05:02:43.999000Z,2025-11-04T03:41:47.055225Z,3105.0,CIFH4XG1,9334,English,44,Male,White,United States,United States,United States,English,No,Full-Time
690969dc25435be9f6dc8740,5e46aa20caec81000b7d4f93,APPROVED,Not Applicable,2025-11-04T02:54:41.449000Z,2025-11-04T03:25:18.698000Z,2025-11-14T21:20:13.136000Z,2025-11-04T03:25:19.111859Z,1838.0,CIFH4XG1,10092,English,49,Male,White,United States,United States,United States,English,No,Full-Time
690969f817b61445e321158d,66a8f82143da40a6b126975e,APPROVED,Not Applicable,2025-11-04T02:50:43.036000Z,2025-11-04T03:53:15.200000Z,2025-11-08T05:02:45.237000Z,2025-11-04T03:53:15.606310Z,3753.0,CIFH4XG1,5251,English,48,Male,Asian,China,United States,United States,Chinese,No,Full-Time
69096a3856aff1248c12a439,66463e4efb99fba5a67a010a,APPROVED,Not Applicable,2025-11-04T02:51:38.661000Z,2025-11-04T03:12:43.340000Z,2025-11-04T03:16:10.707000Z,2025-11-04T03:12:43.778410Z,1265.0,CIFH4XG1,4274,English,31,Male,Black,United States,United States,United States,English,No,Full-Time
69096a3b9aa2b4a4b1f8688a,652e2bd923d23c34ce1e7734,APPROVED,Not Applicable,2025-11-04T02:52:27.552000Z,2025-11-04T03:28:41.393000Z,2025-11-08T05:02:50.241000Z,2025-11-04T03:28:41.795972Z,2174.0,CIFH4XG1,1861,English,40,Female,White,United States,United States,United States,English,No,Full-Time
69096a4b12987684e415904b,62c9ed717a2882d689eb27c1,APPROVED,Not Applicable,2025-11-04T02:51:58.227000Z,2025-11-04T03:22:32.933000Z,2025-11-08T05:02:48.851000Z,2025-11-04T03:22:33.289210Z,1835.0,CIFH4XG1,2361,English,38,Female,White,Azerbaijan,United States,United States,Russian,No,Full-Time
69096ab8b655afc90cc217c9,58c1ce3c3783090001b49355,APPROVED,Not Applicable,2025-11-04T02:53:49.052000Z,2025-11-04T03:25:24.042000Z,2025-11-08T05:02:51.985000Z,2025-11-04T03:25:24.417135Z,1895.0,CIFH4XG1,11649,English,47,Female,White,United States,United States,United States,English,No,Full-Time
69096abbfd0af85e897efd64,5ed91d3f31d9c60a8ac27018,APPROVED,Not Applicable,2025-11-04T02:53:51.206000Z,2025-11-04T03:08:58.914000Z,2025-11-04T03:16:15.839000Z,2025-11-04T03:08:59.306103Z,908.0,CIFH4XG1,1257,English,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
69096b2fe949296b107fa421,54e32a60fdf99b3eae9de85b,APPROVED,Not Applicable,2025-11-04T02:55:49.810000Z,2025-11-04T03:26:38.904000Z,2025-11-14T21:20:13.388000Z,2025-11-04T03:26:39.296976Z,1850.0,NOCODE,8079,English,41,Female,White,United States,United States,United States,English,No,Full-Time
69096b754d3f1d05aaf4218e,672268205351c30413c9837e,APPROVED,Not Applicable,2025-11-04T03:01:56.256000Z,2025-11-04T03:57:05.667000Z,2025-11-14T21:20:13.633000Z,2025-11-04T03:57:06.079875Z,3310.0,CIFH4XG1,5177,English,50,Female,Asian,Philippines,United States,United States,Tagalog-Filipino,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69096baaf142296108910a68,65c1220d6b274235bd3ea120,APPROVED,Not Applicable,2025-11-04T02:58:01.118000Z,2025-11-04T03:08:30.194000Z,2025-11-14T21:20:13.867000Z,2025-11-04T03:08:30.567195Z,630.0,CIFH4XG1,261,English,34,Female,Black,United States,United States,United States,English,No,Full-Time
69096bac317dfd04afd96544,673c90022c553e1b8f60a3af,APPROVED,Not Applicable,2025-11-04T02:57:52.990000Z,2025-11-04T03:25:44.535000Z,2025-11-14T21:20:14.096000Z,2025-11-04T03:25:44.940934Z,1672.0,CIFH4XG1,806,English,27,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
69096c7da050f8d4593e1a4f,67e07f19ee9c325f1bcaa026,APPROVED,Not Applicable,2025-11-04T03:01:53.894000Z,2025-11-04T03:50:21.744000Z,2025-11-14T21:20:14.334000Z,2025-11-04T03:50:22.138258Z,2908.0,CIFH4XG1,1159,English,61,Male,White,United States,United States,United States,English,Yes,Full-Time
69096c9fe519feca3e7420a1,67f224dfcaaa213111714560,APPROVED,Not Applicable,2025-11-04T03:01:55.600000Z,2025-11-04T04:25:32.933000Z,2025-11-14T21:20:15.194000Z,2025-11-04T04:25:33.474813Z,5018.0,CIFH4XG1,2956,English,33,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69096cb887b2517ed1ca3bdf,67dca3ca8f388d1638a68ad9,APPROVED,Not Applicable,2025-11-04T03:02:16.617000Z,2025-11-04T03:49:58.881000Z,2025-11-14T21:20:15.508000Z,2025-11-04T03:49:59.266294Z,2863.0,CIFH4XG1,575,English,63,Male,Black,United States,United States,United States,English,Yes,Full-Time
69096d0ba4204defcd5ae17c,66afd624a26f73871dce55fe,APPROVED,Not Applicable,2025-11-04T03:03:39.617000Z,2025-11-04T03:37:22.947000Z,2025-11-14T21:20:15.769000Z,2025-11-04T03:37:23.346109Z,2024.0,CIFH4XG1,1286,English,34,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69096d0bd7954d37fbab2fcf,61363ce02e6022a741d63a6e,APPROVED,Not Applicable,2025-11-04T03:03:43.123000Z,2025-11-04T03:14:47.542000Z,2025-11-14T21:20:16.070000Z,2025-11-04T03:14:48.016538Z,665.0,CIFH4XG1,4634,English,29,Male,White,United States,United States,United States,English,No,Full-Time
69096d1073f617167d17af3d,67ef42807f408cca62ea4bb0,APPROVED,Not Applicable,2025-11-04T03:03:44.341000Z,2025-11-04T03:46:26.198000Z,2025-11-14T21:20:16.374000Z,2025-11-04T03:46:26.614975Z,2562.0,CIFH4XG1,1551,English,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69096d14e7ed917cddfde989,668dc9c9cb393e15f3baf53e,APPROVED,Not Applicable,2025-11-04T03:03:48.671000Z,2025-11-04T03:52:22.538000Z,2025-11-14T21:20:16.694000Z,2025-11-04T03:52:22.930012Z,2914.0,CIFH4XG1,1607,English,42,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69096e58632f1607a1b9bf8d,672ceecd4b982fd2123fa32f,APPROVED,Not Applicable,2025-11-04T03:09:48.609000Z,2025-11-04T04:20:44.606000Z,2025-11-14T21:20:16.934000Z,2025-11-04T04:20:44.989106Z,4256.0,CIFH4XG1,1327,English,37,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
